"date", "low", "high", "open", "close", "volume", "range"
Thu Jun 08 2017,2611.41,2808.78,2690.02,2799.73,13453.69,197.37
Fri Jun 09 2017,2786.2,2861.58,2799.76,2811.39,11440.34,75.38
Sat Jun 10 2017,2801.25,2942.04,2811.37,2931.15,18734.80,140.79
Sun Jun 11 2017,2881,2998.99,2931.16,2998.98,16295.48,117.99
Mon Jun 12 2017,2463.89,2999.99,2998.98,2655.71,38941.18,536.10
Tue Jun 13 2017,2649.47,2798.99,2654.36,2709.01,19716.97,149.52
Wed Jun 14 2017,2330,2827,2709.02,2432.21,28256.87,497.00
Thu Jun 15 2017,2050,2525,2432.21,2409.98,42025.04,475.00
Fri Jun 16 2017,2287.84,2524.65,2409.98,2480.43,21891.96,236.81
Sat Jun 17 2017,2413.96,2679.24,2480.44,2634.94,17601.28,265.28
Sun Jun 18 2017,2455.01,2670,2634.94,2515.25,13831.59,214.99
Mon Jun 19 2017,2481.92,2597,2515.25,2596.98,13928.56,115.08
Tue Jun 20 2017,2585.42,2776.95,2596.99,2725.08,19229.71,191.53
Wed Jun 21 2017,2559.51,2781.59,2725.11,2643.35,18062.07,222.08
Thu Jun 22 2017,2598,2724.69,2643.33,2679.99,12179.55,126.69
Fri Jun 23 2017,2665,2743,2679.93,2690.76,9674.14,78.00
Sat Jun 24 2017,2503.05,2718.37,2690.76,2574.84,12806.60,215.32
Sun Jun 25 2017,2430.05,2625,2574.86,2505.61,13739.17,194.95
Mon Jun 26 2017,2258.34,2563.9,2505.61,2407.91,20262.76,305.56
Tue Jun 27 2017,2264,2575.75,2407.91,2575.75,22151.52,311.75
Wed Jun 28 2017,2457,2605,2573.22,2553.12,16240.95,148.00
Thu Jun 29 2017,2506.1,2591.98,2553.13,2530,9048.16,85.88
Fri Jun 30 2017,2446.2,2554.01,2531.16,2455.19,11860.96,107.81
Sat Jul 01 2017,2400,2515,2455.19,2423.63,8448.09,115.00
Sun Jul 02 2017,2385,2545,2424.08,2516.66,9098.29,160.00
Mon Jul 03 2017,2479.75,2584.78,2515.37,2542.41,10043.51,105.03
Tue Jul 04 2017,2542.18,2636.1,2542.41,2602,10680.57,93.92
Wed Jul 05 2017,2551.06,2630.24,2602,2616.96,10183.63,79.18
Thu Jul 06 2017,2580.69,2623.54,2616.96,2604.84,8207.97,42.85
Fri Jul 07 2017,2472,2607.61,2604.89,2501.15,11640.78,135.61
Sat Jul 08 2017,2471.22,2563.5,2501.15,2561.11,7869.88,92.28
Sun Jul 09 2017,2500,2579.84,2560.84,2508.99,5647.43,79.84
Mon Jul 10 2017,2250,2523,2508,2331.05,15554.01,273.00
Tue Jul 11 2017,2265,2410,2330.93,2310.01,15670.55,145.00
Wed Jul 12 2017,2250,2415,2309.62,2383.42,13834.47,165.00
Thu Jul 13 2017,2308.14,2416.79,2384.35,2340,9541.54,108.65
Fri Jul 14 2017,2150,2349.28,2340,2217.24,13548.78,199.28
Sat Jul 15 2017,1964.31,2224.82,2217.02,1964.31,16334.19,260.51
Sun Jul 16 2017,1758.2,2043.94,1964.33,1911.78,21740.89,285.74
Mon Jul 17 2017,1909.58,2238.07,1911.79,2235.19,21436.76,328.49
